Date,Close,High,Low,Open,Volume
2020-01-02 00:00:00+00:00,300.35,300.6,295.19,296.24,33911864
2020-01-03 00:00:00+00:00,297.43,300.58,296.5,297.15,36633878
2020-01-06 00:00:00+00:00,299.8,299.96,292.75,293.79,29644644
2020-01-07 00:00:00+00:00,298.39,300.9,297.48,299.84,27877655
2020-01-08 00:00:00+00:00,303.19,304.4399,297.156,297.16,33090946
2020-01-09 00:00:00+00:00,309.63,310.43,306.2,307.235,42621542
2020-01-10 00:00:00+00:00,310.33,312.67,308.25,310.6,35217272
2020-01-13 00:00:00+00:00,316.96,317.07,311.15,311.64,30028742
2020-01-14 00:00:00+00:00,312.68,317.57,312.17,316.7,40653457
2020-01-15 00:00:00+00:00,311.34,315.5,309.55,311.85,30480882
2020-01-16 00:00:00+00:00,315.24,315.7,312.09,313.59,27207254
2020-01-17 00:00:00+00:00,318.73,318.74,315,316.27,34454117
2020-01-21 00:00:00+00:00,316.57,319.02,316,317.19,27235039
2020-01-22 00:00:00+00:00,317.7,319.99,317.31,318.58,25458115
2020-01-23 00:00:00+00:00,319.23,319.56,315.65,317.92,26117993
2020-01-24 00:00:00+00:00,318.31,323.33,317.5188,320.25,36634380
2020-01-27 00:00:00+00:00,308.95,311.77,304.88,310.06,40485005
2020-01-28 00:00:00+00:00,317.69,318.4,312.19,312.6,40558486
2020-01-29 00:00:00+00:00,324.34,327.85,321.38,324.45,54149928
2020-01-30 00:00:00+00:00,323.87,324.09,318.75,320.5435,31685808
2020-01-31 00:00:00+00:00,309.51,322.68,308.29,320.93,49897096
2020-02-03 00:00:00+00:00,308.66,313.49,302.22,304.3,43496401
2020-02-04 00:00:00+00:00,318.85,319.64,313.6345,315.31,34154134
2020-02-05 00:00:00+00:00,321.45,324.76,318.95,323.52,29706718
2020-02-06 00:00:00+00:00,325.21,325.22,320.2648,322.57,26356385
2020-02-07 00:00:00+00:00,320.03,323.4,318,322.37,29421012
2020-02-10 00:00:00+00:00,321.55,321.55,313.85,314.18,27337215
2020-02-11 00:00:00+00:00,319.61,323.9,318.71,323.6,23580780
2020-02-12 00:00:00+00:00,327.2,327.22,321.47,321.47,28432573
2020-02-13 00:00:00+00:00,324.87,326.22,323.35,324.19,23686892
2020-02-14 00:00:00+00:00,324.95,325.98,322.85,324.73,20028447
2020-02-18 00:00:00+00:00,319,319.75,314.61,315.36,38190545
2020-02-19 00:00:00+00:00,323.62,324.57,320,320,23495991
2020-02-20 00:00:00+00:00,320.3,324.65,318.21,322.63,25141489
2020-02-21 00:00:00+00:00,313.05,320.45,310.5,318.62,32426415
2020-02-24 00:00:00+00:00,298.18,304.18,289.23,297.26,55548828
2020-02-25 00:00:00+00:00,288.08,302.53,286.13,300.95,57668364
2020-02-26 00:00:00+00:00,292.65,297.88,286.5,286.53,49678431
2020-02-27 00:00:00+00:00,273.52,286,272.96,281.1,80151381
2020-02-28 00:00:00+00:00,273.36,278.41,256.37,257.26,106721230
2020-03-02 00:00:00+00:00,298.81,301.44,277.72,282.28,85349339
2020-03-03 00:00:00+00:00,289.32,304,285.8,303.67,79868852
2020-03-04 00:00:00+00:00,302.74,303.4,293.13,296.44,54794568
2020-03-05 00:00:00+00:00,292.92,299.55,291.41,295.52,46893219
2020-03-06 00:00:00+00:00,289.03,290.82,281.23,282,56544246
2020-03-09 00:00:00+00:00,266.17,278.09,263,263.75,71686208
2020-03-10 00:00:00+00:00,285.34,286.44,269.37,277.14,71322520
2020-03-11 00:00:00+00:00,275.43,281.22,271.86,277.39,64094970
2020-03-12 00:00:00+00:00,248.23,270,248,255.94,104618517
2020-03-13 00:00:00+00:00,277.97,279.92,252.95,264.89,92683032
2020-03-16 00:00:00+00:00,242.21,259.08,240,241.95,80605865
2020-03-17 00:00:00+00:00,252.86,257.61,238.4,247.51,81013965
2020-03-18 00:00:00+00:00,246.67,250,237.12,239.77,75058406
2020-03-19 00:00:00+00:00,244.78,252.84,242.61,247.385,67964255
2020-03-20 00:00:00+00:00,229.24,251.83,228,247.18,100423346
2020-03-23 00:00:00+00:00,224.37,228.4997,212.61,228.08,84188208
2020-03-24 00:00:00+00:00,246.88,247.69,234.3,236.36,71882773
2020-03-25 00:00:00+00:00,245.52,258.25,244.3,250.75,75900510
2020-03-26 00:00:00+00:00,258.44,258.68,246.36,246.52,63140169
2020-03-27 00:00:00+00:00,247.74,255.87,247.05,252.75,51054153
2020-03-30 00:00:00+00:00,254.81,255.52,249.4,250.74,41994110
2020-03-31 00:00:00+00:00,254.29,262.49,252,255.6,49250501
2020-04-01 00:00:00+00:00,240.91,248.72,239.13,246.5,44054638
2020-04-02 00:00:00+00:00,244.93,245.15,236.9,240.34,41483493
2020-04-03 00:00:00+00:00,241.41,245.7,238.9741,242.8,32470017
2020-04-06 00:00:00+00:00,262.47,263.11,249.38,250.9,50455071
2020-04-07 00:00:00+00:00,259.43,271.7,259,270.8,50721831
2020-04-08 00:00:00+00:00,266.07,267.37,261.23,262.74,42223821
2020-04-09 00:00:00+00:00,267.99,270.07,264.7,268.7,40529123
2020-04-13 00:00:00+00:00,273.25,273.7,265.83,268.31,32755731
2020-04-14 00:00:00+00:00,287.05,288.25,278.05,280,48748672
2020-04-15 00:00:00+00:00,284.43,286.33,280.63,282.4,32788641
2020-04-16 00:00:00+00:00,286.69,288.1975,282.3502,287.38,39281290
2020-04-17 00:00:00+00:00,282.8,286.945,276.86,284.69,53812478
2020-04-20 00:00:00+00:00,276.93,281.68,276.85,277.95,32503750
2020-04-21 00:00:00+00:00,268.37,277.25,265.43,276.28,45247893
2020-04-22 00:00:00+00:00,276.1,277.9,272.2,273.61,29264342
2020-04-23 00:00:00+00:00,275.03,281.75,274.87,275.87,31203582
2020-04-24 00:00:00+00:00,282.97,283.01,277,277.2,31627183
2020-04-27 00:00:00+00:00,283.17,284.54,279.95,281.8,29271893
2020-04-28 00:00:00+00:00,278.58,285.83,278.2,285.08,28001187
2020-04-29 00:00:00+00:00,287.73,289.67,283.89,284.73,34320204
2020-04-30 00:00:00+00:00,293.8,294.53,288.35,289.96,45765968
2020-05-01 00:00:00+00:00,289.07,299,285.85,286.25,60154175
2020-05-04 00:00:00+00:00,293.16,293.69,286.3172,289.17,33391986
2020-05-05 00:00:00+00:00,297.56,301,294.46,295.06,36937795
2020-05-06 00:00:00+00:00,300.63,303.24,298.87,300.46,35583438
2020-05-07 00:00:00+00:00,303.74,305.17,301.97,303.22,28803764
2020-05-08 00:00:00+00:00,310.13,310.35,304.29,305.64,33511985
2020-05-11 00:00:00+00:00,315.01,317.05,307.24,308.1,36486561
2020-05-12 00:00:00+00:00,311.41,319.688,310.91,317.83,40575263
2020-05-13 00:00:00+00:00,307.65,315.95,303.21,312.15,50155639
2020-05-14 00:00:00+00:00,309.54,309.79,301.53,304.51,39732269
2020-05-15 00:00:00+00:00,307.71,307.9,300.21,300.35,41587094
2020-05-18 00:00:00+00:00,314.96,316.5,310.3241,313.17,33843125
2020-05-19 00:00:00+00:00,313.14,318.52,313.01,315.03,25432385
2020-05-20 00:00:00+00:00,319.23,319.52,316.2,316.68,27876215
2020-05-21 00:00:00+00:00,316.85,320.89,315.87,318.66,25672211
2020-05-22 00:00:00+00:00,318.89,319.23,315.35,315.77,20450754
