dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1796-01-01,19.649,2.286,Ahmadabad,India,23.31N,72.52E
1796-02-01,21.631999999999998,1.77,Ahmadabad,India,23.31N,72.52E
1796-03-01,24.953000000000003,2.427,Ahmadabad,India,23.31N,72.52E
1796-04-01,30.296999999999997,1.827,Ahmadabad,India,23.31N,72.52E
1796-05-01,33.223000000000006,1.496,Ahmadabad,India,23.31N,72.52E
1796-06-01,32.129,2.92,Ahmadabad,India,23.31N,72.52E
1796-07-01,28.651,2.28,Ahmadabad,India,23.31N,72.52E
1796-08-01,27.958000000000002,2.843,Ahmadabad,India,23.31N,72.52E
1796-09-01,27.953000000000003,3.237,Ahmadabad,India,23.31N,72.52E
1796-10-01,27.285,1.662,Ahmadabad,India,23.31N,72.52E
1796-11-01,23.92,2.867,Ahmadabad,India,23.31N,72.52E
1796-12-01,18.561,3.644,Ahmadabad,India,23.31N,72.52E
1797-01-01,,,Ahmadabad,India,23.31N,72.52E
1797-02-01,,,Ahmadabad,India,23.31N,72.52E
1797-03-01,25.49,2.093,Ahmadabad,India,23.31N,72.52E
1797-04-01,29.465,2.747,Ahmadabad,India,23.31N,72.52E
1797-05-01,32.426,2.128,Ahmadabad,India,23.31N,72.52E
1797-06-01,32.553000000000004,2.041,Ahmadabad,India,23.31N,72.52E
1797-07-01,28.604,2.27,Ahmadabad,India,23.31N,72.52E
1797-08-01,27.886,2.067,Ahmadabad,India,23.31N,72.52E
1797-09-01,28.048000000000002,2.8710000000000004,Ahmadabad,India,23.31N,72.52E
1797-10-01,26.889,2.149,Ahmadabad,India,23.31N,72.52E
1797-11-01,22.892,1.938,Ahmadabad,India,23.31N,72.52E
1797-12-01,20.278,2.546,Ahmadabad,India,23.31N,72.52E
1798-01-01,19.869,1.984,Ahmadabad,India,23.31N,72.52E
1798-02-01,21.886999999999997,2.01,Ahmadabad,India,23.31N,72.52E
1798-03-01,27.112,1.938,Ahmadabad,India,23.31N,72.52E
1798-04-01,,,Ahmadabad,India,23.31N,72.52E
1798-05-01,,,Ahmadabad,India,23.31N,72.52E
1798-06-01,32.010999999999996,2.012,Ahmadabad,India,23.31N,72.52E
1798-07-01,29.726999999999997,2.285,Ahmadabad,India,23.31N,72.52E
1798-08-01,28.346,3.863,Ahmadabad,India,23.31N,72.52E
1798-09-01,27.901,2.532,Ahmadabad,India,23.31N,72.52E
1798-10-01,27.031,2.267,Ahmadabad,India,23.31N,72.52E
1798-11-01,24.455,2.477,Ahmadabad,India,23.31N,72.52E
1798-12-01,19.837,2.027,Ahmadabad,India,23.31N,72.52E
1799-01-01,19.234,2.15,Ahmadabad,India,23.31N,72.52E
1799-02-01,20.334000000000003,2.407,Ahmadabad,India,23.31N,72.52E
