epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.6675,0.53424,1.75884,0.98061,0.78945,0.72264,0.83378,0.70995,0.46838,2.28548,0.90992,0.00054409,0.00054409,0.00054409
2,44.3974,0.52636,1.14856,0.9531,0.68138,0.9651,0.87996,0.80415,0.46482,1.3808,0.89028,0.00105621,0.00105621,0.00105621
3,60.6622,0.55847,1.01001,0.96937,0.56652,0.86319,0.88709,0.79342,0.48494,2.15767,0.89536,0.00152431,0.00152431,0.00152431
4,77.0289,0.50695,0.86407,0.92113,0.69758,0.72447,0.79748,0.69435,0.52231,1.39327,0.93708,0.00146896,0.00146896,0.00146896
5,93.2991,0.51757,0.80642,0.93696,0.79934,0.93103,0.93844,0.89255,0.36593,0.86656,0.85341,0.00140295,0.00140295,0.00140295
6,110.232,0.46545,0.7351,0.9298,0.82262,0.86207,0.95216,0.91584,0.29743,0.7493,0.83023,0.00133693,0.00133693,0.00133693
7,127.638,0.47072,0.71145,0.92479,0.8244,0.93103,0.95237,0.90093,0.35138,0.65625,0.84917,0.00127092,0.00127092,0.00127092
8,144.729,0.42757,0.62916,0.91362,0.83799,0.94533,0.95312,0.92163,0.2968,0.60949,0.82773,0.00120491,0.00120491,0.00120491
9,162.166,0.40822,0.59651,0.90585,0.86027,0.88759,0.95949,0.93571,0.31799,0.55811,0.8293,0.00113889,0.00113889,0.00113889
10,180.436,0.36896,0.5578,0.8842,0.82979,0.91023,0.95672,0.92951,0.32499,0.60568,0.83005,0.00107288,0.00107288,0.00107288
11,198.55,0.39006,0.55803,0.89302,0.88702,0.87931,0.95264,0.9169,0.35743,0.52129,0.861,0.00100687,0.00100687,0.00100687
12,216.349,0.34157,0.52824,0.88572,0.83553,0.92669,0.95558,0.93383,0.31076,0.52669,0.86293,0.000940855,0.000940855,0.000940855
13,234.348,0.35033,0.49966,0.88881,0.7987,0.97457,0.95928,0.94321,0.25933,0.5144,0.82014,0.000874842,0.000874842,0.000874842
14,252.937,0.34131,0.49887,0.8857,0.7992,0.94828,0.95484,0.92732,0.30152,0.50986,0.83113,0.000808828,0.000808828,0.000808828
15,271.349,0.3297,0.49884,0.88214,0.83442,0.92623,0.95725,0.94684,0.22055,0.45994,0.81042,0.000742815,0.000742815,0.000742815
16,330.752,0.25162,0.4822,0.81318,0.86981,0.89393,0.96351,0.93876,0.28273,0.4742,0.82787,0.000676802,0.000676802,0.000676802
17,347.491,0.26573,0.47776,0.81186,0.748,0.99868,0.95879,0.94553,0.24544,0.50385,0.81244,0.000610789,0.000610789,0.000610789
18,364.369,0.2593,0.44837,0.80242,0.83111,0.93103,0.96739,0.94869,0.23513,0.46874,0.81035,0.000544776,0.000544776,0.000544776
19,381.841,0.23184,0.4309,0.80588,0.75509,1,0.96076,0.94582,0.25439,0.47787,0.81605,0.000478762,0.000478762,0.000478762
20,399.761,0.21794,0.40495,0.79722,0.83232,0.87418,0.95994,0.95031,0.20448,0.53462,0.8056,0.000412749,0.000412749,0.000412749
21,418.859,0.21206,0.4175,0.79195,0.85892,0.88127,0.96054,0.95296,0.19982,0.40664,0.80554,0.000346736,0.000346736,0.000346736
22,437.441,0.1993,0.39019,0.79779,0.82964,0.90794,0.9633,0.95198,0.22566,0.45733,0.8111,0.000280723,0.000280723,0.000280723
23,456.362,0.18374,0.36333,0.7919,0.79698,0.96552,0.95739,0.94225,0.21352,0.38234,0.81518,0.00021471,0.00021471,0.00021471
24,475.755,0.17181,0.34716,0.78225,0.97453,0.77984,0.9589,0.94769,0.20644,0.40948,0.81539,0.000148696,0.000148696,0.000148696
25,495.458,0.16567,0.34719,0.78397,0.97442,0.77903,0.95979,0.94802,0.19252,0.39972,0.81006,8.26832e-05,8.26832e-05,8.26832e-05
